"Variable","Method","Horizon","IRF","Lower","Upper"
"FFR","Lag-Augmented LP (Smoothed)",21,0.394842480270542,-0.0766374139288994,0.866322374469984
"FFR","Lag-Augmented LP (Smoothed)",22,0.454649620239404,-0.0103450000567116,0.91964424053552
"FFR","Lag-Augmented LP (Smoothed)",23,0.525612044456008,0.0553157429111191,0.995908346000897
"FFR","Lag-Augmented LP (Smoothed)",24,0.516278412179868,0.0375021301373567,0.99505469422238
"FFR","Lag-Augmented LP (Smoothed)",25,0.485241050941378,0.00713435510163829,0.963347746781117
"FFR","Lag-Augmented LP (Smoothed)",26,0.470454833714689,0.00460193678157311,0.936307730647804
"FFR","Lag-Augmented LP (Smoothed)",27,0.531231591349133,0.0735416859165449,0.988921496781722
"FFR","Lag-Augmented LP (Smoothed)",28,0.583498516289793,0.118329601082704,1.04866743149688
"FFR","Lag-Augmented LP (Smoothed)",29,0.589119939347479,0.1060798960531,1.07215998264186
"FFR","Lag-Augmented LP (Smoothed)",30,0.501234883675802,0.0191726928845554,0.983297074467049
"FFR","Lag-Augmented LP (Smoothed)",31,0.422575775607765,-0.0408720040414482,0.886023555256979
"FFR","Lag-Augmented LP (Smoothed)",32,0.362340359769214,-0.0908680008880328,0.81554872042646
"FFR","Lag-Augmented LP (Smoothed)",33,0.313922835825056,-0.145606023336935,0.773451694987046
"FFR","Lag-Augmented LP (Smoothed)",34,0.259454894232908,-0.210529029744284,0.729438818210099
"FFR","Lag-Augmented LP (Smoothed)",35,0.197493696614028,-0.281580270841295,0.676567664069352
"FFR","Lag-Augmented LP (Smoothed)",36,0.151862535212592,-0.319062329909874,0.622787400335058
"FFR","Lag-Augmented LP (Smoothed)",37,0.106627202053159,-0.343383117715832,0.55663752182215
"FFR","Lag-Augmented LP (Smoothed)",38,0.0879548973458516,-0.341479249089778,0.517389043781481
"CPI","Lag-Augmented LP (Smoothed)",0,0.043082303095487,0.0294178782217573,0.0567467279692167
"CPI","Lag-Augmented LP (Smoothed)",1,0.116272640050471,0.0801606471114852,0.152384632989457
"CPI","Lag-Augmented LP (Smoothed)",2,0.215895694094977,0.143442765288832,0.288348622901122
"CPI","Lag-Augmented LP (Smoothed)",3,0.274239129584029,0.164578599059842,0.383899660108216
"CPI","Lag-Augmented LP (Smoothed)",4,0.297143733510161,0.158628639608869,0.435658827411453
"CPI","Lag-Augmented LP (Smoothed)",5,0.29723680612319,0.134536733806271,0.45993687844011
"CPI","Lag-Augmented LP (Smoothed)",6,0.304036559919373,0.114786546704247,0.493286573134498
